Word,Mean Rank,peS2o Rank,peS2o P(w),Gutenberg Rank,Gutenberg P(w),Wikipedia Rank,Wikipedia P(w)
support,627.3333333333334,386,0.0002795165724959329,1179,7.745971247358223e-05,317,0.00028080284846902646
back,628.6666666666666,1548,8.073571899654117e-05,129,0.0007733448731930614,209,0.00037986182207780964
de,630.0,1535,8.133660420808207e-05,217,0.0004396061331624935,138,0.0005285057396690735
information,631.0,147,0.0005922834985811737,1159,7.853239587058867e-05,587,0.00016992818795525004
strong,632.3333333333334,553,0.00020471973952852543,451,0.00020769229776153493,893,0.00011643750194258225
you,642.3333333333334,1459,8.616220633501158e-05,24,0.004967325884159038,444,0.00021526880924131565
play,642.6666666666666,992,0.0001231063577144425,640,0.00014075464856549023,296,0.0002937774931027859
almost,643.3333333333334,946,0.00012803999570988538,247,0.00038502907303104346,737,0.0001373497227468974
cases,646.6666666666666,224,0.00044493389197233606,800,0.00011194278206328218,916,0.00011411335971417674
though,649.3333333333334,1263,9.762532644079445e-05,165,0.0005817403061319459,520,0.00018868244347883703
open,652.0,956,0.00012689172876454352,359,0.0002618116166372286,641,0.00015903017140768817
close,652.3333333333334,832,0.0001443173998992297,446,0.0002098464854469182,679,0.00014989861192220478
six,653.3333333333334,1063,0.00011477113323037941,533,0.00017149482492763261,364,0.00025145023974614824
lower,658.3333333333334,198,0.0004883118365499951,913,9.806279446013772e-05,864,0.00011977271609151648
making,661.0,1100,0.0001112512217429112,420,0.00022270356468293202,463,0.0002087540502152761
social,662.6666666666666,365,0.000292157798025028,1129,8.011007529854998e-05,494,0.00019690956449499453
higher,663.3333333333334,114,0.0007153188612963074,1016,8.916503532209073e-05,860,0.00012001556015556956
whose,664.0,990,0.0001232730416258631,269,0.0003482153979285524,733,0.0001380704714754652
M,666.3333333333334,171,0.0005423133081981335,524,0.00017589140921210307,1304,8.479577657746002e-05
He,668.6666666666666,1930,6.2268787871993e-05,50,0.0022362352064649684,26,0.0027735617512146273
here,669.0,579,0.00019738358959995244,138,0.0007384910111339705,1290,8.586794868718158e-05
